variable,long_name,units,ice_daily,ice_month,ice_static,ocean_annual,ocean_annual_z,ocean_cobalt_btm,ocean_cobalt_daily_2d,ocean_cobalt_fdet_100,ocean_cobalt_fluxes_int,ocean_cobalt_omip_2d,ocean_cobalt_omip_daily,ocean_cobalt_omip_rates_year_z,ocean_cobalt_omip_sfc,ocean_cobalt_sfc,ocean_cobalt_tracers_instant,ocean_cobalt_tracers_int,ocean_cobalt_tracers_month_z,ocean_daily,ocean_month,ocean_month_snap,ocean_month_z,ocean_static,sea_ice_geometry,,
runoff_flux_pdet,PDET runoff flux to the ocean,mol m-2 s-1,,,,,,,,,,,,,,y,,,,,,,,,,,
runoff_flux_po4,PO4 runoff flux to the ocean,mol m-2 s-1,,,,,,,,,,,,,,y,,,,,,,,,,,
runoff_flux_ldop,LDOP runoff flux to the ocean,mol m-2 s-1,,,,,,,,,,,,,,y,,,,,,,,,,,
runoff_flux_sldop,SLDOP runoff flux to the ocean,mol m-2 s-1,,,,,,,,,,,,,,y,,,,,,,,,,,
runoff_flux_srdop,SRDOP runoff flux to the ocean,mol m-2 s-1,,,,,,,,,,,,,,y,,,,,,,,,,,
sfc_def_fe_di,Surface diazotroph iron deficiency,dimensionless,,,,,,,,,,,,,,y,,,,,,,,,,,
sfc_def_fe_lgp,Surface large phyto. iron deficiency,dimensionless,,,,,,,,,,,,,,y,,,,,,,,,,,
sfc_def_fe_mdp,Surface medium phyto. iron deficiency,dimensionsless,,,,,,,,,,,,,,y,,,,,,,,,,,
sfc_def_fe_smp,Surface small phyto. iron deficiency,dimensionsless,,,,,,,,,,,,,,y,,,,,,,,,,,
sfc_felim_di,Surface diazotroph iron uptake limitation,dimensionless,,,,,,,,,,,,,,y,,,,,,,,,,,
sfc_felim_lgp,Surface large phyto. iron uptake limitation,dimensionless,,,,,,,,,,,,,,y,,,,,,,,,,,
sfc_felim_mdp,Surface medium phyto. iron uptake limitation,dimensionsless,,,,,,,,,,,,,,y,,,,,,,,,,,
sfc_felim_smp,Surface small phyto. iron uptake limitation,dimensionsless,,,,,,,,,,,,,,y,,,,,,,,,,,
sfc_irrlim_di,Surface diazotroph light limitation,dimensionless,,,,,,,,,,,,,,y,,,,,,,,,,,
sfc_irrlim_lgp,Surface large phyto. light limitation,dimensionless,,,,,,,,,,,,,,y,,,,,,,,,,,
sfc_irrlim_mdp,Surface medium phyto. light limitation,dimensionsless,,,,,,,,,,,,,,y,,,,,,,,,,,
sfc_irrlim_smp,Surface small phyto. light limitation,dimensionsless,,,,,,,,,,,,,,y,,,,,,,,,,,
sfc_theta_di,Surface diazotroph Chl:C,g Chl (g C)-1,,,,,,,,,,,,,,y,,,,,,,,,,,
sfc_theta_lgp,Surface large phyto. Chl:C,g Chl (g C)-1,,,,,,,,,,,,,,y,,,,,,,,,,,
sfc_theta_mdp,Surface medium phyto. Chl:C,g Chl (g C)-1,,,,,,,,,,,,,,y,,,,,,,,,,,
sfc_theta_smp,Surface small phyto. Chl:C,g Chl (g C)-1,,,,,,,,,,,,,,y,,,,,,,,,,,
sfc_mu_di,Surface diazotroph growth rate,sec-1,,,,,,,,,,,,,,y,,,,,,,,,,,
sfc_mu_lgp,Surface large phyto. Chl:C,sec-1,,,,,,,,,,,,,,y,,,,,,,,,,,
sfc_mu_mdp,Surface medium phyto. Chl:C,sec-1,,,,,,,,,,,,,,y,,,,,,,,,,,
sfc_mu_smp,Surface small phyto. Chl:C,sec-1,,,,,,,,,,,,,,y,,,,,,,,,,,
sfc_nh4lim_lgp,Surface large phyto. ammonia limitation,dimensionless,,,,,,,,,,,,,,y,,,,,,,,,,,
sfc_nh4lim_mdp,Surface medium phyto. ammonia limitation,dimensionsless,,,,,,,,,,,,,,y,,,,,,,,,,,
sfc_nh4lim_smp,Surface small phyto. ammonia limitation,dimensionsless,,,,,,,,,,,,,,y,,,,,,,,,,,
sfc_no3lim_lgp,Surface large phyto. nitrate limitation,dimensionless,,,,,,,,,,,,,,y,,,,,,,,,,,
sfc_no3lim_mdp,Surface medium phyto. nitrate limitation,dimensionsless,,,,,,,,,,,,,,y,,,,,,,,,,,
sfc_no3lim_smp,Surface small phyto. nitrate limitation,dimensionsless,,,,,,,,,,,,,,y,,,,,,,,,,,
sfc_po4lim_di,Surface diazotroph phosphate limitation,dimensionless,,,,,,,,,,,,,,y,,,,,,,,,,,
sfc_po4lim_lgp,Surface large phyto. phosphate limitation,dimensionless,,,,,,,,,,,,,,y,,,,,,,,,,,
sfc_po4lim_mdp,Surface medium phyto. phosphate limitation,dimensionsless,,,,,,,,,,,,,,y,,,,,,,,,,,
sfc_po4lim_smp,Surface small phyto. phosphate limitation,dimensionsless,,,,,,,,,,,,,,y,,,,,,,,,,,
sfc_q_fe_2_n_di,Surface diazotroph iron:nitrogen,moles Fe (moles N)-1,,,,,,,,,,,,,,y,,,,,,,,,,,
sfc_q_fe_2_n_lgp,Surface large phyto. iron:nitrogen,moles Fe (moles N)-1,,,,,,,,,,,,,,y,,,,,,,,,,,
sfc_q_fe_2_n_mdp,Surface medium phyto. iron:nitrogen,moles Fe (moles N)-1,,,,,,,,,,,,,,y,,,,,,,,,,,
sfc_q_fe_2_n_smp,Surface small phyto. iron:nitrogen,moles Fe (moles N)-1,,,,,,,,,,,,,,y,,,,,,,,,,,
nh4_stf,Total flux of nh4 into Ocean Surface,mole/m^2/sec,,,,,,,,,,,,,,y,,,,,,,,,,,
sfc_no3,Surface NO3,mol kg-1,,,,,,,,,,,,,,y,,,,,,,,,,,
sfc_po4,Surface PO4,mol kg-1,,,,,,,,,,,,,,y,,,,,,,,,,,
sfc_sio4,Surface SiO4,mol kg-1,,,,,,,,,,,,,,y,,,,,,,,,,,
sfc_co3_sol_arag,Surface Carbonate Ion Solubility for Aragonite,mol kg-1,,,,,,,,,,,,,,y,,,,,,,,,,,
sfc_co3_sol_calc,Surface Carbonate Ion Solubility for Calcite,mol kg-1,,,,,,,,,,,,,,y,,,,,,,,,,,
sfc_co3_ion,Surface Carbonate Ion,mol kg-1,,,,,,,,,,,,,,y,,,,,,,,,,,
wc_vert_int_c,Total carbon (DIC+OC+IC) vertical integral,mol m-2,,,,,,,,,,,,,,,y,,,,,,,,,,
wc_vert_int_dic,Dissolved inorganic carbon vertical integral,mol m-2,,,,,,,,,,,,,,,y,,,,,,,,,,
wc_vert_int_doc,Total dissolved organic carbon  vertical integral,mol m-2,,,,,,,,,,,,,,,y,,,,,,,,,,
wc_vert_int_poc,Total particulate organic carbon vertical integral,mol m-2,,,,,,,,,,,,,,,y,,,,,,,,,,
wc_vert_int_n,Total nitrogen vertical integral,mol m-2,,,,,,,,,,,,,,,y,,,,,,,,,,
wc_vert_int_p,Total phosphorus vertical integral,mol m-2,,,,,,,,,,,,,,,y,,,,,,,,,,
wc_vert_int_fe,Total iron vertical integral,mol m-2,,,,,,,,,,,,,,,y,,,,,,,,,,
wc_vert_int_si,Total silicon vertical integral,mol m-2,,,,,,,,,,,,,,,y,,,,,,,,,,
wc_vert_int_o2,Total oxygen vertical integral,mol m-2,,,,,,,,,,,,,,,y,,,,,,,,,,
wc_vert_int_alk,Total alkalinity vertical integral,mol m-2,,,,,,,,,,,,,,,y,,,,,,,,,,
nsmp_100,Small phytoplankton nitrogen biomass in upper 100m,mol m-2,,,,,,,,,,,,,,,,y,,,,,,,,,
nmdp_100,Medium phytoplankton nitrogen biomass in upper 100m,mol m-2,,,,,,,,,,,,,,,,y,,,,,,,,,
nlgp_100,Large phytoplankton nitrogen biomass in upper 100m,mol m-2,,,,,,,,,,,,,,,,y,,,,,,,,,
ndi_100,Diazotroph nitrogen biomass in upper 100m,mol m-2,,,,,,,,,,,,,,,,y,,,,,,,,,
silgp_100,Large phytoplankton silicon biomass in upper 100m,mol m-2,,,,,,,,,,,,,,,,y,,,,,,,,,
simdp_100,Medium phytoplankton silicon biomass in upper 100m,mol m-2,,,,,,,,,,,,,,,,y,,,,,,,,,
nsmz_100,Small zooplankton nitrogen biomass in upper 100m,mol m-2,,,,,,,,,,,,,,,,y,,,,,,,,,
nmdz_100,Medium zooplankton nitrogen biomass in upper 100m,mol m-2,,,,,,,,,,,,,,,,y,,,,,,,,,
nlgz_100,Large zooplankton nitrogen biomass in upper 100m,mol m-2,,,,,,,,,,,,,,,,y,,,,,,,,,
nbact_100,Bacterial nitrogen biomass in upper 100m,mol m-2,,,,,,,,,,,,,,,,y,,,,,,,,,
don_100,Dissolved organic nitrogen (sr+sl+l) in upper 100m,mol m-2,,,,,,,,,,,,,,,,y,,,,,,,,,
ndet_100,Nitrogen detritus biomass in upper 100m,mol m-2,,,,,,,,,,,,,,,,y,,,,,,,,,
dp_fac,diapause factor,N/A,,,,,,,,,,,,,,,,y,,,,,,,,,
htotal,H+ ion concentration,mol/kg,,,,,,,,,,,,,,,,,y,,,,,,,,
no3,Nitrate,mol/kg,,,,,,,,,,,,,,,,,y,,,,,,,,
o2,Oxygen,mol/kg,,,,,,,,,,,,,,,,,y,,,,,,,,
o2min,Oxygen,mol/kg,,,,,,,,,,,,,,,,,y,,,,,,,,
o2max,Oxygen,mol/kg,,,,,,,,,,,,,,,,,y,,,,,,,,
omega_arag,Carbonate Ion Saturation State for Aragonite,mol kg-1,,,,,,,,,,,,,,,,,y,,,,,,,,
omega_calc,Carbonate Ion Saturation State for Calcite,mol kg-1,,,,,,,,,,,,,,,,,y,,,,,,,,
ndi,Diazotroph Nitrogen,mol/kg,,,,,,,,,,,,,,,,,y,,,,,,,,
nlg,Large Phytoplankton Nitrogen,mol/kg,,,,,,,,,,,,,,,,,y,,,,,,,,
nmd,Medium Phytoplankton Nitrogen,mol/kg,,,,,,,,,,,,,,,,,y,,,,,,,,
nsm,Small Phytoplankton Nitrogen,mol/kg,,,,,,,,,,,,,,,,,y,,,,,,,,
pdi,Diazotroph Phosphorus,mol/kg,,,,,,,,,,,,,,,,,y,,,,,,,,
plg,Large Phytoplankton Phosphorus,mol/kg,,,,,,,,,,,,,,,,,y,,,,,,,,
pmd,Medium Phytoplankton Phosphorus,mol/kg,,,,,,,,,,,,,,,,,y,,,,,,,,
psm,Small Phytoplankton Phosphorus,mol/kg,,,,,,,,,,,,,,,,,y,,,,,,,,
q_p_2_n_Sm,P:N ratio of Small Phyto,mol P/mol N,,,,,,,,,,,,,,,,,y,,,,,,,,
q_p_2_n_Md,P:N ratio of Medium Phyto,mol P/mol N,,,,,,,,,,,,,,,,,y,,,,,,,,
q_p_2_n_Lg,P:N ratio of Large Phyto,mol P/mol N,,,,,,,,,,,,,,,,,y,,,,,,,,
q_p_2_n_Di,P:N ratio of Diaz. Phyto,mol P/mol N,,,,,,,,,,,,,,,,,y,,,,,,,,
silg,Large Phytoplankton Silicon,mol/kg,,,,,,,,,,,,,,,,,y,,,,,,,,
simd,Medium Phytoplankton Silicon,mol/kg,,,,,,,,,,,,,,,,,y,,,,,,,,
chl,Chlorophyll,ug kg-1,,,,,,,,,,,,,,,,,y,,,,,,,,
chl_Lg,Large Phyto. Chlorophyll,ug Kg-1,,,,,,,,,,,,,,,,,y,,,,,,,,
chl_Md,Medium Phyto. Chlorophyll,ug Kg-1,,,,,,,,,,,,,,,,,y,,,,,,,,
chl_Sm,Small Phyto. Chlorophyll,ug Kg-1,,,,,,,,,,,,,,,,,y,,,,,,,,
chl_Di,Diaz. Phyto. Chlorophyll,ug Kg-1,,,,,,,,,,,,,,,,,y,,,,,,,,
mu_Lg,Large Phyto. Overall Growth Rate,s-1,,,,,,,,,,,,,,,,,y,,,,,,,,
mu_Md,Medium Phyto. Overall Growth Rate,s-1,,,,,,,,,,,,,,,,,y,,,,,,,,
mu_Sm,Small Phyto. Growth Rate,s-1,,,,,,,,,,,,,,,,,y,,,,,,,,
mu_Di,Diaz. Phyto. Overall Growth Rate,s-1,,,,,,,,,,,,,,,,,y,,,,,,,,
irrlim_Lg,Large Phyto. Light Limitation,dimensionless,,,,,,,,,,,,,,,,,y,,,,,,,,
irrlim_Md,Medium Phyto. Light Limitation,dimensionless,,,,,,,,,,,,,,,,,y,,,,,,,,
irrlim_Sm,Small Phyto. Light Limitation,dimensionless,,,,,,,,,,,,,,,,,y,,,,,,,,
irrlim_Di,Diaz. Phyto. Light Limitation,dimensionless,,,,,,,,,,,,,,,,,y,,,,,,,,
nbact,bacterial,mol/kg,,,,,,,,,,,,,,,,,y,,,,,,,,
nsmz,Small Zooplankton Nitrogen,mol/kg,,,,,,,,,,,,,,,,,y,,,,,,,,
nmdz,Medium-sized zooplankton Nitrogen,mol/kg,,,,,,,,,,,,,,,,,y,,,,,,,,
nlgz,large Zooplankton Nitrogen,mol/kg,,,,,,,,,,,,,,,,,y,,,,,,,,
po4,Phosphate,mol/kg,,,,,,,,,,,,,,,,,y,,,,,,,,
nh4,Ammonia,mol/kg,,,,,,,,,,,,,,,,,y,,,,,,,,
fed,Dissolved Iron,mol/kg,,,,,,,,,,,,,,,,,y,,,,,,,,
fedet,Detrital Iron,mol/kg,,,,,,,,,,,,,,,,,y,,,,,,,,
ndet,ndet,mol/kg,,,,,,,,,,,,,,,,,y,,,,,,,,
feprime,Free iron concentration,mol kg-1,,,,,,,,,,,,,,,,,y,,,,,,,,
theta_Lg,Large Phyto. Chl:C,g Chl (g C)-1,,,,,,,,,,,,,,,,,y,,,,,,,,
theta_Md,Medium Phyto. Chl:C,g Chl (g C)-1,,,,,,,,,,,,,,,,,y,,,,,,,,
theta_Sm,Small Phyto. Chl:C,g Chl (g C)-1,,,,,,,,,,,,,,,,,y,,,,,,,,
theta_Di,Diaz. Phyto. Chl:C,g Chl (g C)-1,,,,,,,,,,,,,,,,,y,,,,,,,,
irr_mix,"Instantaneous light, avg over mixing layer",W m-2,,,,,,,,,,,,,,,,,y,,,,,,,,
irr_inst,Instantaneous Light,W m-2,,,,,,,,,,,,,,,,,y,,,,,,,,
vmove_Di,Diaz. Phyto. movement,m s-1,,,,,,,,,,,,,,,,,y,,,,,,,,
vmove_Sm,Small Phyto. movement,m s-1,,,,,,,,,,,,,,,,,y,,,,,,,,
vmove_Md,Medium Phyto. movement,m s-1,,,,,,,,,,,,,,,,,y,,,,,,,,
vmove_Lg,Large Phyto. movement,m s-1,,,,,,,,,,,,,,,,,y,,,,,,,,
dissic,Dissolved Inorganic Carbon Concentration,mol m-3,,,,,,,,,,,,,,,,,y,,,,,,,,
dissoc,Dissolved Organic Carbon Concentration,mol m-3,,,,,,,,,,,,,,,,,y,,,,,,,,
talk,Total Alkalinity,mol m-3,,,,,,,,,,,,,,,,,y,,,,,,,,
si,Total Dissolved Inorganic Silicon Concentration,mol m-3,,,,,,,,,,,,,,,,,y,,,,,,,,
co3,Carbonate Ion Concentration,mol m-3,,,,,,,,,,,,,,,,,y,,,,,,,,
sshmin,Sea Surface Height,m,,,,,,,,,,,,,,,,,,y,,,,,,,
sshmax,Sea Surface Height,m,,,,,,,,,,,,,,,,,,y,,,,,,,
tosmin,Sea Surface Temperature,degC,,,,,,,,,,,,,,,,,,y,,,,,,,
tosmax,Sea Surface Temperature,degC,,,,,,,,,,,,,,,,,,y,,,,,,,
ssu,Sea Surface Zonal Velocity,m s-1,,,,,,,,,,,,,,,,,,y,,,,,,,
ssv,Sea Surface Meridional Velocity,m s-1,,,,,,,,,,,,,,,,,,y,,,,,,,
omldamax,Surface boundary layer depth,m,,,,,,,,,,,,,,,,,,y,,,,,,,
zos,Sea surface height above geoid,m,,,,,,,,,,,,,,,,,,,y,,,,,,
S_adx_2d,Vertically Integrated Advective Zonal Flux of Salt,psu m3 s-1,,,,,,,,,,,,,,,,,,,y,,,,,,
S_ady_2d,Vertically Integrated Advective Meridional Flux of Salt,psu m3 s-1,,,,,,,,,,,,,,,,,,,y,,,,,,
ficeberg,Water Flux into Seawater from Icebergs,kg m-2 s-1,,,,,,,,,,,,,,,,,,,y,,,,,,
fsitherm,water flux to ocean from sea ice melt(> 0) or form(< 0),kg m-2 s-1,,,,,,,,,,,,,,,,,,,y,,,,,,
hfibthermds,Latent Heat to Melt Frozen Runoff/Iceberg,W m-2,,,,,,,,,,,,,,,,,,,y,,,,,,
MLD_restrat,Mixed Layer Depth as used in the mixed-layer restratification parameterization,m,,,,,,,,,,,,,,,,,,,y,,,,,,
udml_restrat,Transport stream function amplitude for zonal restratification of mixed layer,m3 s-1,,,,,,,,,,,,,,,,,,,y,,,,,,
vdml_restrat,Transport stream function amplitude for meridional restratification of mixed layer,m3 s-1,,,,,,,,,,,,,,,,,,,y,,,,,,
uml_restrat,Surface zonal velocity component of mixed layer restratification,m s-1,,,,,,,,,,,,,,,,,,,y,,,,,,
vml_restrat,Surface meridional velocity component of mixed layer restratification,m s-1,,,,,,,,,,,,,,,,,,,y,,,,,,
areacello,Ocean Grid-Cell Area,m2,,,,,,,,,,,,,,,,,,,,,,y,,,
deptho,Sea Floor Depth,m,,,,,,,,,,,,,,,,,,,,,,y,,,
sftof,Sea Area Fraction,%,,,,,,,,,,,,,,,,,,,,,,y,,,
Coriolis,Coriolis parameter at corner (Bu) points,s-1,,,,,,,,,,,,,,,,,,,,,,y,,,
geolon,Longitude of tracer (T) points,degrees_east,,,,,,,,,,,,,,,,,,,,,,y,,,
geolat,Latitude of tracer (T) points,degrees_north,,,,,,,,,,,,,,,,,,,,,,y,,,
geolon_c,Longitude of corner (Bu) points,degrees_east,,,,,,,,,,,,,,,,,,,,,,y,,,
geolat_c,Latitude of corner (Bu) points,degrees_north,,,,,,,,,,,,,,,,,,,,,,y,,,
geolon_u,Longitude of zonal velocity (Cu) points,degrees_east,,,,,,,,,,,,,,,,,,,,,,y,,,
geolat_u,Latitude of zonal velocity (Cu) points,degrees_north,,,,,,,,,,,,,,,,,,,,,,y,,,
geolon_v,Longitude of meridional velocity (Cv) points,degrees_east,,,,,,,,,,,,,,,,,,,,,,y,,,
geolat_v,Latitude of meridional velocity (Cv) points,degrees_north,,,,,,,,,,,,,,,,,,,,,,y,,,
wet,"0 if land, 1 if ocean at tracer points",N/A,,,,,,,,,,,,,,,,,,,,,,y,,,
wet_c,"0 if land, 1 if ocean at corner (Bu) points",N/A,,,,,,,,,,,,,,,,,,,,,,y,,,
wet_u,"0 if land, 1 if ocean at zonal velocity (Cu) points",N/A,,,,,,,,,,,,,,,,,,,,,,y,,,
wet_v,"0 if land, 1 if ocean at meridional velocity (Cv) points",N/A,,,,,,,,,,,,,,,,,,,,,,y,,,
dxt,Delta(x) at thickness/tracer points (meter),m,,,,,,,,,,,,,,,,,,,,,,y,,,
dyt,Delta(y) at thickness/tracer points (meter),m,,,,,,,,,,,,,,,,,,,,,,y,,,
dxCu,Delta(x) at u points (meter),m,,,,,,,,,,,,,,,,,,,,,,y,,,
dyCu,Delta(y) at u points (meter),m,,,,,,,,,,,,,,,,,,,,,,y,,,
dxCv,Delta(x) at v points (meter),m,,,,,,,,,,,,,,,,,,,,,,y,,,
dyCv,Delta(y) at v points (meter),m,,,,,,,,,,,,,,,,,,,,,,y,,,
areacello_cu,Ocean Grid-Cell Area,m2,,,,,,,,,,,,,,,,,,,,,,y,,,
areacello_cv,Ocean Grid-Cell Area,m2,,,,,,,,,,,,,,,,,,,,,,y,,,
areacello_bu,Ocean Grid-Cell Area,m2,,,,,,,,,,,,,,,,,,,,,,y,,,
geolatb,latitude at corner (Bu) points,degree,,,,,,,,,,,,,,,,,,,,,,,y,,
geolonb,longitude at corner (Bu) points,degree,,,,,,,,,,,,,,,,,,,,,,,y,,
geolat,latitude at tracer (T) points,degree,,,,,,,,,,,,,,,,,,,,,,,y,,
geolon,longitude at tracer (T) points,degree,,,,,,,,,,,,,,,,,,,,,,,y,,
D,Basin Depth,meter,,,,,,,,,,,,,,,,,,,,,,,y,,
f,Coriolis Parameter,s-1,,,,,,,,,,,,,,,,,,,,,,,y,,
dxCv,Zonal grid spacing at v points,m,,,,,,,,,,,,,,,,,,,,,,,y,,
dyCu,Meridional grid spacing at u points,m,,,,,,,,,,,,,,,,,,,,,,,y,,
dxCu,Zonal grid spacing at u points,m,,,,,,,,,,,,,,,,,,,,,,,y,,
dyCv,Meridional grid spacing at v points,m,,,,,,,,,,,,,,,,,,,,,,,y,,
dxT,Zonal grid spacing at h points,m,,,,,,,,,,,,,,,,,,,,,,,y,,
dyT,Meridional grid spacing at h points,m,,,,,,,,,,,,,,,,,,,,,,,y,,
dxBu,Zonal grid spacing at q points,m,,,,,,,,,,,,,,,,,,,,,,,y,,
dyBu,Meridional grid spacing at q points,m,,,,,,,,,,,,,,,,,,,,,,,y,,
Ah,Area of h cells,m2,,,,,,,,,,,,,,,,,,,,,,,y,,
Aq,Area of q cells,m2,,,,,,,,,,,,,,,,,,,,,,,y,,
dxCvo,Open zonal grid spacing at v points,m,,,,,,,,,,,,,,,,,,,,,,,y,,
dyCuo,Open meridional grid spacing at u points,m,,,,,,,,,,,,,,,,,,,,,,,y,,
wet,land or ocean?,nondim,,,,,,,,,,,,,,,,,,,,,,,y,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
