variable,long_name,units,ice_daily,ice_month,ice_static,ocean_annual,ocean_annual_z,ocean_cobalt_btm,ocean_cobalt_daily_2d,ocean_cobalt_fdet_100,ocean_cobalt_fluxes_int,ocean_cobalt_omip_2d,ocean_cobalt_omip_daily,ocean_cobalt_omip_rates_year_z,ocean_cobalt_omip_sfc,ocean_cobalt_sfc,ocean_cobalt_tracers_instant,ocean_cobalt_tracers_int,ocean_cobalt_tracers_month_z,ocean_daily,ocean_month,ocean_month_snap,ocean_month_z,ocean_static,sea_ice_geometry,,
frazil_heat_tendency,Heat tendency due to frazil formation,W m-2,,,,,y,,,,,,,,,,,,,,,,,,,,
T_advection_xy,Horizontal convergence of residual mean advective fluxes of heat,W m-2,,,,,y,,,,,,,,,,,,,,,,,,,,
S_advection_xy,Horizontal convergence of residual mean advective fluxes of salt,kg m-2 s-1,,,,,y,,,,,,,,,,,,,,,,,,,,
Th_tendency_vert_remap,Vertical remapping tracer content tendency for Heat,W m-2,,,,,y,,,,,,,,,,,,,,,,,,,,
Sh_tendency_vert_remap,Vertical remapping tracer content tendency for Salt,kg m-2 s-1,,,,,y,,,,,,,,,,,,,,,,,,,,
boundary_forcing_heat_tendency,Boundary forcing heat tendency,W m-2,,,,,y,,,,,,,,,,,,,,,,,,,,
boundary_forcing_salt_tendency,Boundary forcing salt tendency,kg m-2 s-1,,,,,y,,,,,,,,,,,,,,,,,,,,
difvho,Ocean vertical heat diffusivity,m2 s-1,,,,,y,,,,,,,,,,,,,,,,,,,,
difvso,Ocean vertical salt diffusivity,m2 s-1,,,,,y,,,,,,,,,,,,,,,,,,,,
Kd_interface,Total diapycnal diffusivity at interfaces,m2 s-1,,,,,y,,,,,,,,,,,,,,,,,,,,
Kd_shear,Shear-driven Diapycnal Diffusivity,m2 s-1,,,,,y,,,,,,,,,,,,,,,,,,,,
Kd_BBL,Bottom Boundary Layer Diffusivity,m2 s-1,,,,,y,,,,,,,,,,,,,,,,,,,,
Kd_ePBL,ePBL diapycnal diffusivity at interfaces,m2 s-1,,,,,y,,,,,,,,,,,,,,,,,,,,
Kd_heat,Total diapycnal diffusivity for heat at interfaces,m2 s-1,,,,,y,,,,,,,,,,,,,,,,,,,,
Kd_salt,Total diapycnal diffusivity for salt at interfaces,m2 s-1,,,,,y,,,,,,,,,,,,,,,,,,,,
